material_id,formula,band_gap,density,energy_per_atom,formation_energy_per_atom,volume
mp-763191,LiMnF3,3.5205,3.093639070991598,-6.3054804785,-2.942981421752874,255.2273736483216
mp-763362,LiMnF3,3.6017,3.284381671439333,-6.330681584,-2.968182527252874,240.40487802350825
mp-764783,LiMnF3,2.6723,2.67532663811538,-6.3178712595,-2.955372202752875,295.1345693104732
mp-765090,LiMnF3,3.2241,3.246163595394753,-6.309294973999999,-2.946795917252873,486.470476241664
mp-765457,LiMnF3,2.9514,3.049317569751577,-6.3687901235,-3.006291066752874,258.9370759337948
mp-774399,LiMnF3,3.5994,2.982710706362964,-6.3295171656,-2.967018108852873,661.7984887208629
mp-776156,LiMnF3,3.5452,3.299497104898932,-6.362736642,-3.000237585252874,239.3035514208172
mp-776951,LiMnF3,4.0,3.658405940691196,-6.3694095065,-3.006910449752874,215.82661626550947
mp-777298,LiMnF3,3.5986,2.850763699625378,-6.35977178375,-2.997272727002874,553.9437556390793
mp-777352,LiMnF3,3.7601,2.996094749771859,-6.3698282155,-3.007329158752874,1054.1474032690624
mp-777355,LiMnF3,3.7031,3.269397892949199,-6.387215140749999,-3.024716084002874,483.01332597530217
mp-777655,LiMnF3,3.484099999999999,3.007085878049365,-6.3499353415,-2.987436284752874,262.5736035238223
mp-777972,LiMnF3,3.6182,3.180526507250842,-6.38120110425,-3.018702047502874,496.5098535132229
mp-778633,LiMnF3,3.707,2.955780143685831,-6.342207005333334,-2.9797079485862072,400.6969412754181
mp-778800,LiMnF3,3.7265,3.173711004587487,-6.332929427,-2.970430370252873,373.182076422699
mp-778819,LiMnF3,3.4804,3.101048950353377,-6.333152574,-2.970653517252874,127.30875709250624
mp-779073,LiMnF3,3.795,3.290026784792962,-6.354766783666666,-2.99226772691954,359.9885776407317
mp-779317,LiMnF3,3.7196,2.948296548887614,-6.342484478666667,-2.979985421919541,803.4280426128704
mp-859873,LiMnF3,3.7715,2.214983123367355,-6.31590179,-2.953402733252873,178.23643141457626
mp-8180,LiNO3,2.9369,2.467377582518515,-6.404979223999999,-1.386762498666665,92.80084348909156
mp-1078377,LiNbO3,3.684,4.189015426462623,-8.249632965,-2.878810780666667,117.21291827347063
mp-1196213,LiNbO3,3.1296,4.038838730092427,-8.257009209,-2.886187024666665,486.2850493830286
mp-3731,LiNbO3,3.3358,4.577485851594526,-8.270339836,-2.899517651666666,429.06236195769645
mp-552588,LiNbO3,2.275,4.405933343837936,-8.237331804,-2.866509619666666,111.44215867790756
mp-674361,LiNbO3,2.9621,4.384557291808807,-8.2602834186,-2.8894612342666672,559.9273656950107
mp-675069,LiNbO3,3.0192,4.415984295457482,-8.263480592857142,-2.8926584085238103,778.319584001562
mp-676694,LiNbO3,2.9794,4.397739687610721,-8.262324550333334,-2.891502366000001,669.8987539597193
mp-686057,LiNbO3,3.0381,4.409493062654657,-8.259485732749999,-2.888663548416666,445.40877225707146
mp-755559,LiNbO3,3.4857,3.9276205227540713,-8.215173666,-2.844351481666666,125.0137888789659
mp-760701,LiNbO3,3.4233,3.8817183475111694,-8.234432636,-2.8636104516666663,252.98420898728443
mp-776108,LiNbO3,2.8678,4.390481189383467,-8.240503241499999,-2.869681057166666,447.33750279178
mp-758501,LiNiF3,5.245,4.007619956980738,-7.345646598,-2.5963451133333333,101.62203983838734
mp-1202801,LiPO3,5.5832,2.346664763854643,-7.135393510700001,-2.701737629295238,1215.86885289899
mp-29195,LiPO3,5.722,2.435061437820981,-7.136383174833333,-2.702727293428572,703.0385066061369
mp-557189,LiPO3,5.7828,2.353890411744613,-7.1338721425,-2.700216261095238,1212.1365465148035
mp-1185263,LiPaO3,3.1954,5.89750883224152,-8.598911058000002,-3.339490445666668,80.52091246018041
mp-4995,LiSbO3,2.1379,5.4462318959327884,-6.294555521499999,-2.118194097166666,215.50013311485165
mp-752636,LiSbO3,1.4496,5.377765286043913,-6.205745034,-2.029383609666666,218.24375667597388
mp-756951,LiSbO3,2.9459,5.017345415144604,-6.235983737,-2.059622312666666,116.96062373991856
mp-770932,LiSbO3,2.8255999999999992,5.08523353797315,-6.278321590999999,-2.101960166666666,115.39919354575606
mp-1211104,LiSeO3,0.5306000000000001,2.618191499154925,-5.48385317,-1.434109698135416,339.6922687408509
mp-998230,LiSnCl3,0.0003,2.9480824422162133,-3.969960761999999,-1.677136137666666,130.6821218175454
mp-998591,LiSnCl3,3.4801,3.043778674764525,-3.9804789289999993,-1.687654304666665,253.14696632577648
mp-1105216,LiTaO3,3.7436,5.375939422972849,-8.701202891,-2.977256206133333,145.72326093272562
mp-1105280,LiTaO3,2.4709,7.296570199160666,-8.7388514435,-3.014904758633334,214.7308672182759
mp-1105326,LiTaO3,3.471899999999999,5.798583202136881,-8.5946519535,-2.870705268633332,270.2037363208662
mp-3666,LiTaO3,3.7003,7.452082824503236,-8.849305455000003,-3.125358770133336,105.12489484369374
mp-754345,LiTaO3,2.5608,6.703179903163183,-8.760660486,-3.036713801133333,116.86981919174188
mp-755231,LiTeO3,2.1534,4.891948409239831,-5.7299051425,-1.7506827875000002,247.8468270134616
mp-676210,LiTiCl3,0.0177,1.991078692731824,-8.476216890791665,-1.71986086695833,537.6464541027924
mp-1181180,LiUO3,0.391399999999999,5.858059667529093,-8.749329151000001,-3.140485972666666,166.0908285449962
mp-545712,LiUO3,0.4172,6.221225160327004,-8.748317654000001,-3.139474475666665,78.1976185374707
mp-8007,LiUO3,0.4431,7.667992251454383,-8.957352078999984,-3.348508900666648,126.88718923279944
mp-752607,LiVF3,2.5457,3.22650121790436,-6.366718601,-3.019841388666666,118.24506596419596
mp-752619,LiVF3,2.4089,3.194216146231122,-6.332621882,-2.985744669666666,119.44021064285688
mp-752764,LiVF3,2.654699999999999,3.5542032793873397,-6.393293879000001,-3.046416666666668,107.34272053522622
mp-752911,LiVF3,2.6241,3.326449515751989,-6.376011379499999,-3.029134167166666,229.3844217614181
mp-753024,LiVF3,1.976,2.179061460789815,-6.320171929,-2.973294716666667,175.08356519984343
mp-756643,LiVF3,2.4587,3.020088838817058,-6.311386476,-2.9645092636666672,252.65339511939445
mp-777551,LiVF3,2.8112,3.254195578655349,-6.374644575,-3.027767362666667,234.47751686904132
mp-777676,LiVF3,2.489,2.810372255258703,-6.341531127,-2.9946539146666677,271.50698533318666
mp-777893,LiVF3,2.0934,3.234790236468577,-6.3906481605,-3.043770948166666,471.7682711459684
mp-777894,LiVF3,2.7159999999999997,3.181383967722379,-6.3842221985,-3.037344986166666,239.84395044135243
mp-778509,LiVF3,2.7453000000000003,3.23939982622827,-6.3406433275000005,-2.9937661151666672,235.5484779962295
mp-782665,LiVF3,2.5628,2.942844402792522,-6.358289442375001,-3.011412230041667,1037.140391065542
mp-849502,LiVF3,1.355,2.921906629781427,-6.317487076555556,-2.970609864222223,1175.1438629504703
mp-1176521,LiVO3,0.000199999999999,3.35218185163503,-7.512539812,-2.345197421666667,104.89827015989523
mp-19373,LiVO3,3.0342,3.033697700712837,-7.595299084000008,-2.427956693666675,231.8214352176776
mp-19440,LiVO3,2.8357,2.393861855937532,-7.5945367915,-2.427194401166667,293.78309915898933
mp-723831,LiVO3,2.7113,2.582351285594247,-7.594536791500007,-2.427194401166674,272.33946013428664
mp-754098,LiVO3,2.0933,3.211854045482234,-7.483950119000001,-2.316607728666667,109.48133773155732
mp-763200,LiVO3,2.002999999999999,3.258063582794419,-7.5099917760000015,-2.342649385666668,107.92854975417988
mp-1176510,LiVS3,0.039899999999999,2.465479200984007,-5.822289908,-1.141285493166665,207.54724512131145
mp-34645,Lu4V4O13,0.3429,7.272252623941108,-8.728609499285714,-3.074044396507937,507.6552838822353
mp-1185485,LuAlO3,3.1252,8.346949970457588,-8.171755614,-3.549526354333333,49.72430953624188
mp-754435,LuAlO3,0.0002,8.259909025380914,-8.345041552,-3.722812292333333,100.49658482659083
mp-755358,LuAlO3,3.6479,7.273827011470189,-8.365620775,-3.743391515333333,114.12048248056117
mp-755574,LuAlO3,6.091399999999999,8.216249279040953,-8.406215403500001,-3.783986143833334,202.0612130517076
mp-756850,LuAlO3,3.711999999999999,6.697751032351873,-8.328935587333334,-3.706706327666666,371.8080788698567
mp-1222450,LuBO3,4.5157,6.830311479031603,-8.694018302,-3.485025854166667,113.66817285947047
mp-7560,LuBO3,5.3023,7.059129507739583,-8.778143964000002,-3.5691515161666683,109.98367787860556
mp-760461,LuBO3,4.2791,6.5969386013916544,-8.749382555,-3.540390107166666,117.68929086573688
mp-1176501,LuBiO3,3.1586,9.46935658189858,-7.506134075,-2.855013119333334,151.4912945230261
mp-772801,LuBiO3,2.3018,9.400974309080118,-7.475031207000001,-2.823910251333335,152.59323552308717
mp-1222293,LuBiTe3,1.104299999999999,7.260919716699134,-4.58699091,-1.018663021333333,175.35161681870088
mp-755471,LuCrO3,2.5313,8.695893111836789,-9.0573971395,-3.253673551833335,210.0228117255138
mp-22588,LuFeO3,1.6083,8.258442678612468,-8.4465166745,-2.879398338833334,224.2433578745118
mp-1185488,LuGaO3,3.027399999999999,9.095011277478337,-7.234115358333335,-2.755382060166668,53.43810750805216
mp-755342,LuGaO3,2.5134,8.019411365090507,-7.67745922,-3.198725921833333,121.21093888475164
mp-755792,LuGaO3,3.9739999999999993,8.887079570664806,-7.6441232365,-3.165389938333334,218.7536126207889
mp-768505,LuGaO3,2.8917,8.350153593190138,-7.698665589333334,-3.219932291166668,349.22964111405213
mp-21125,LuMnO3,0.448199999999999,8.19174681149193,-8.765617151499999,-3.06009999941954,225.3337197434038
mp-1105866,LuNiO3,0.099499999999999,8.93078999991922,-7.563221223499999,-2.534079793833333,209.4798371692059
mp-1185498,LuNpO3,0.049299999999999,10.320754811804411,-9.570101218,-3.107431188083334,74.00526393698391
mp-1205366,LuRhO3,1.0887,9.922030465179358,-7.958022456500001,-2.612046788833334,218.14931123596665
mp-772180,LuScO3,3.0848,6.817693970880811,-9.145822131333334,-4.006214216666667,391.5342710979174
